"","Lastname_Player","FirstInitial","RK","Team","Pos","R","H","HR","RBI","AVG","OBP","SLG","OPS","Players","Age","Salary","Salary_Classification","Salary_Classification2","Firstname_Player","AVG_Classification","AVG_Classification2"
"1","Abreu","J",45,"CWS","1B",85,180,33,123,0.284,0.33,0.503,0.834,"Jose Abreu","32",16015000,"High Salary",1,"Jose",1,"High Average"
"2","AcunaJr.","R",54,"ATL","LF",127,175,41,101,0.28,0.365,0.518,0.883,"Ronald Acuna","21",1e+06,"Low Salary",0,"Ronald",1,"High Average"
"3","Adames","W",102,"TB","SS",69,135,20,52,0.254,0.317,0.418,0.735,"Willy Adames","23",562400,"Low Salary",0,"Willy",0,"Low Average"
"4","Ahmed","N",104,"ARI","SS",79,141,19,82,0.254,0.316,0.437,0.753,"Nick Ahmed","29",3662500,"High Salary",1,"Nick",0,"Low Average"
"5","Alberto","H",16,"BAL","2B",62,160,12,51,0.305,0.329,0.422,0.751,"Hanser Alberto","30",578000,"Low Salary",0,"Hanser",1,"High Average"
"6","Albies","O",24,"ATL","2B",102,189,24,86,0.295,0.352,0.5,0.852,"Ozzie Albies","22",1e+06,"Low Salary",0,"Ozzie",1,"High Average"
"7","Alonso","P",91,"NYM","1B",103,155,53,120,0.26,0.358,0.583,0.941,"Pete Alonso","24",555000,"Low Salary",0,"Pete",0,"Low Average"
"8","Altuve","J",20,"HOU","2B",89,149,31,74,0.298,0.353,0.55,0.903,"Jose Altuve","29",9500000,"High Salary",1,"Jose",1,"High Average"
"9","Anderson","B",85,"MIA","3B",57,120,20,66,0.261,0.342,0.468,0.811,NA,NA,0,"Low Salary",NA,NA,0,"Low Average"
"10","Anderson","T",1,"CWS","SS",81,167,18,56,0.335,0.357,0.508,0.865,"Tim Anderson","26",1400000,"Low Salary",0,"Tim",1,"High Average"
"11","Andrus","E",68,"TEX","SS",81,165,12,72,0.275,0.313,0.393,0.707,"Elvis Andrus","30",15250000,"High Salary",1,"Elvis",1,"High Average"
"12","Arcia","O",131,"MIL","SS",51,110,15,59,0.223,0.283,0.35,0.633,"Orlando Arcia","24",565700,"Low Salary",0,"Orlando",0,"Low Average"
"13","Arenado","N",8,"COL","3B",102,185,41,118,0.315,0.379,0.583,0.962,"Nolan Arenado","28",26050000,"High Salary",1,"Nolan",1,"High Average"
"14","Baez","J",53,"CHC","SS",89,149,29,85,0.281,0.316,0.531,0.847,"Javier Baez","26",5200000,"High Salary",1,"Javier",1,"High Average"
"15","Bell","J",62,"PIT","1B",94,146,37,116,0.277,0.367,0.569,0.936,"Josh Bell","26",587000,"Low Salary",0,"Josh",1,"High Average"
"16","Bellinger","C",17,"LAD","RF",121,170,47,115,0.305,0.406,0.629,1.035,"Cody Bellinger","23",605000,"Low Salary",0,"Cody",1,"High Average"
"17","Belt","B",123,"SF","1B",76,123,17,57,0.234,0.339,0.403,0.742,"Brandon Belt","31",17200000,"High Salary",1,"Brandon",0,"Low Average"
"18","Benintendi","A",80,"BOS","LF",72,144,13,68,0.266,0.343,0.431,0.774,"Andrew Benintendi","24",717500,"Low Salary",0,"Andrew",0,"Low Average"
"19","Betts","M",26,"BOS","RF",135,176,29,80,0.295,0.391,0.524,0.915,"Mookie Betts","26",20100000,"High Salary",1,"Mookie",1,"High Average"
"20","Blackmon","C",9,"COL","RF",112,182,32,86,0.314,0.364,0.576,0.94,"Charlie Blackmon","32",21333333,"High Salary",1,"Charlie",1,"High Average"
"21","Bogaerts","X",14,"BOS","SS",110,190,33,117,0.309,0.384,0.555,0.939,"Xander Bogaerts","26",1.2e+07,"High Salary",1,"Xander",1,"High Average"
"22","BradleyJr.","J",130,"BOS","CF",69,111,21,62,0.225,0.317,0.421,0.738,"Jackie Bradley Jr.","29",8550000,"High Salary",1,"Jackie",0,"Low Average"
"23","Brantley","M",11,"HOU","LF",88,179,22,90,0.311,0.372,0.503,0.875,"Michael Brantley","32",1.6e+07,"High Salary",1,"Michael",1,"High Average"
"24","Braun","R",41,"MIL","LF",70,131,22,75,0.285,0.343,0.505,0.849,"Ryan Braun","35",1.9e+07,"High Salary",1,"Ryan",1,"High Average"
"25","Bregman","A",23,"HOU","3B",122,164,41,112,0.296,0.423,0.592,1.015,"Alex Bregman","25",2307166,"Low Salary",0,"Alex",1,"High Average"
"26","Bryant","K",51,"CHC","3B",108,153,31,77,0.282,0.382,0.521,0.903,"Kris Bryant","27",12900000,"High Salary",1,"Kris",1,"High Average"
"27","Cabrera","A",93,"WSH","3B",69,116,18,91,0.26,0.342,0.441,0.783,"Asdrubal Cabrera","33",555000,"Low Salary",0,"Asdrubal",0,"Low Average"
"28","Cabrera","M",50,"DET","1B",41,139,12,59,0.282,0.346,0.398,0.744,"Melky Cabrera","34",1150000,"Low Salary",0,"Melky",1,"High Average"
"29","Cabrera","M",50,"DET","1B",41,139,12,59,0.282,0.346,0.398,0.744,"Miguel Cabrera","36",3e+07,"High Salary",1,"Miguel",1,"High Average"
"30","Cain","L",90,"MIL","CF",75,146,11,48,0.26,0.325,0.372,0.697,"Lorenzo Cain","33",15025000,"High Salary",1,"Lorenzo",0,"Low Average"
"31","Calhoun","K",126,"LAA","RF",92,128,33,74,0.232,0.325,0.467,0.792,"Kole Calhoun","31",10500000,"High Salary",1,"Kole",0,"Low Average"
"32","Castellanos","N",37,"CHC","RF",100,178,27,73,0.289,0.337,0.525,0.863,"Nick Castellanos","27",9950000,"High Salary",1,"Nick",1,"High Average"
"33","Castro","S",74,"MIA","2B",68,172,22,86,0.27,0.3,0.436,0.736,"Starlin Castro","29",11857142,"High Salary",1,"Starlin",0,"Low Average"
"34","Chapman","M",116,"OAK","3B",102,145,36,91,0.249,0.342,0.506,0.848,"Matt Chapman","26",580000,"Low Salary",0,"Matt",0,"Low Average"
"35","Choo","S",83,"TEX","LF",93,149,24,61,0.265,0.371,0.455,0.826,"Shin-Soo Choo","36",2.1e+07,"High Salary",1,"Shin-Soo",0,"Low Average"
"36","Conforto","M",97,"NYM","RF",90,141,33,92,0.257,0.363,0.494,0.856,"Michael Conforto","26",4025000,"High Salary",1,"Michael",0,"Low Average"
"37","Crawford","B",127,"SF","SS",58,114,11,59,0.228,0.304,0.35,0.654,"Brandon Crawford","32",15200000,"High Salary",1,"Brandon",0,"Low Average"
"38","Cruz","N",13,"MIN","DH",81,141,41,108,0.311,0.392,0.639,1.031,"Nelson Cruz","38",1.4e+07,"High Salary",1,"Nelson",1,"High Average"
"39","Davis","K",132,"OAK","LF",61,106,23,73,0.22,0.293,0.387,0.679,"Khris Davis","31",16500000,"High Salary",1,"Khris",0,"Low Average"
"40","DeJong","P",124,"STL","SS",97,136,30,78,0.233,0.318,0.444,0.762,"Paul DeJong","25",1666666,"Low Salary",0,"Paul",0,"Low Average"
"41","Devers","R",12,"BOS","3B",129,201,32,115,0.311,0.361,0.555,0.916,"Rafael Devers","22",614500,"Low Salary",0,"Rafael",1,"High Average"
"42","Donaldson","J",95,"ATL","3B",96,142,37,94,0.259,0.379,0.521,0.9,"Josh Donaldson","33",2.3e+07,"High Salary",1,"Josh",0,"Low Average"
"43","Dozier","H",57,"KC","3B",75,146,26,84,0.279,0.348,0.522,0.87,"Hunter Dozier","27",567225,"Low Salary",0,"Hunter",1,"High Average"
"44","Eaton","A",58,"WSH","RF",103,158,15,49,0.279,0.365,0.428,0.792,"Adam Eaton","30",8400000,"High Salary",1,"Adam",1,"High Average"
"45","Escobar","E",75,"ARI","3B",94,171,35,118,0.269,0.32,0.511,0.831,"Eduardo Escobar","30",6166666,"High Salary",1,"Eduardo",0,"Low Average"
"46","Fletcher","D",35,"LAA","3B",83,173,6,49,0.29,0.35,0.384,0.734,"David Fletcher","25",561500,"Low Salary",0,"David",1,"High Average"
"47","Fowler","D",122,"STL","RF",69,116,19,67,0.238,0.346,0.409,0.754,"Dexter Fowler","33",16500000,"High Salary",1,"Dexter",0,"Low Average"
"48","Frazier","A",61,"PIT","2B",80,154,10,50,0.278,0.336,0.417,0.753,"Adam Frazier","27",584000,"Low Salary",0,"Adam",1,"High Average"
"49","Freeman","F",26,"ATL","1B",113,176,38,121,0.295,0.389,0.549,0.938,"Freddie Freeman","29",21409375,"High Salary",1,"Freddie",1,"High Average"
"50","Galvis","F",87,"CIN","SS",67,145,23,70,0.26,0.296,0.438,0.734,"Freddy Galvis","29",4e+06,"High Salary",1,"Freddy",0,"Low Average"
"51","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Aramis Garcia","26",555000,"Low Salary",0,"Aramis",1,"High Average"
"52","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Adolis Garcia","26",555000,"Low Salary",0,"Adolis",1,"High Average"
"53","Garcia","A",49,"TB","RF",61,138,20,72,0.282,0.332,0.464,0.796,"Avisail Garcia","28",4500000,"High Salary",1,"Avisail",1,"High Average"
"54","Garcia","L",59,"CWS","CF",93,161,8,40,0.279,0.31,0.378,0.688,"Leury Garcia","28",1550000,"Low Salary",0,"Leury",1,"High Average"
